"Amparo","Amp","SumaDePagos","Modelo","Color","Carroceria","MARCA","Referencia1","Referencia2","CLASE_FASECOLDA","TIPO_VEHICULO","SERVICIO","Sexo_Aseg","Edad","Desde","Hasta","Vr_Comercial","Pago"
NA,NA,NA,2011,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",68,"2012-06-28","2013-06-28",2.9e+07,"No"
NA,NA,NA,2006,"AZUL","BUS-BUSETA","HYUNDAI","HD","72 BUSETA","BUS / BUSETA / MICROBUS","Pesados","Oficial",NA,999,"2012-03-31","2013-03-31",6432000,"No"
NA,NA,NA,2012,"NEGRO","CABINADO","HYUNDAI","TUCSON IX 35","2.0L CRDI","CAMPERO","Livianos","Particular","F",39,"2011-08-27","2012-08-27",73600000,"No"
NA,NA,NA,2011,"NEGRO","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","M",0,"2011-08-20","2012-07-01",20500000,"No"
NA,NA,NA,1998,"PLATA","SEDAN","HYUNDAI","ACCENT","LS","AUTOMOVIL","Livianos","Particular","M",22,"2012-07-02","2013-07-02",7900000,"No"
NA,NA,NA,2008,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",26,"2011-12-17","2012-12-17",20500000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",3233175,2012,"NEGRO","SEDAN","HYUNDAI","i35 ELANTRA","1.8L","AUTOMOVIL","Livianos","Particular","M",57,"2012-01-11","2013-01-11",5.1e+07,"S�"
NA,NA,NA,2012,"GRIS","CABINADO","HYUNDAI","SANTA FE [2] [FL]","GL","CAMPERO","Livianos","Particular","F",56,"2011-10-01","2012-10-01",77990000,"No"
NA,NA,NA,2010,"PLATA","ST. WAGON","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","F",38,"2012-06-18","2013-06-18",42500000,"No"
NA,NA,NA,2012,"PLATA","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","M",39,"2012-10-11","2013-10-11",23790000,"No"
NA,NA,NA,2011,"PLATA","SEDAN","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",41,"2011-12-09","2012-12-09",22400000,"No"
NA,NA,NA,2008,"GRIS","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL/GLS","AUTOMOVIL","Livianos","Particular","M",48,"2013-01-16","2014-01-16",19700000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",2007719,2008,"ROJO","CABINADO","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Particular","F",68,"2011-08-12","2012-08-12",42100000,"S�"
NA,NA,NA,2012,"PLATA","ST. WAGON","HYUNDAI","SANTA FE [2] [FL]","GL","CAMIONETA","Livianos","Particular","F",48,"2012-05-19","2013-05-19",69654600,"No"
NA,NA,NA,2011,"GRIS","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL/GLS","AUTOMOVIL","Livianos","Particular","M",44,"2011-12-26","2012-12-26",28800000,"No"
NA,NA,NA,2008,"PLATEADO","ST. WAGON","HYUNDAI","TUCSON","GL","CAMIONETA","Livianos","Particular",NA,999,"2012-08-28","2013-08-28",32600000,"No"
NA,NA,NA,2008,"AZUL","SEDAN","HYUNDAI","GETZ [1] [FL]","GL/GLS","AUTOMOVIL","Livianos","Particular","F",33,"2011-12-06","2012-12-06",18700000,"No"
NA,NA,NA,2009,"PLATA","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",44,"2011-02-03","2012-02-03",25100000,"No"
NA,NA,NA,2012,"BRONCE","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",0,"2012-05-25","2013-05-25",28700000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",1619998,2011,"BLANCO","SEDAN","HYUNDAI","ACCENT WEB II","GLS","AUTOMOVIL","Livianos","Particular","F",28,"2011-11-30","2012-11-30",24700000,"S�"
"PERDIDA PARCIAL POR DA�OS","PPD",0,2012,"NEGRO","HATCHBACK","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","F",33,"2011-06-03","2012-06-03",32990000,"No"
NA,NA,NA,2007,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",43,"2011-09-10","2012-09-10",12200000,"No"
NA,NA,NA,2012,"BLANCO","COUPE","HYUNDAI","i10 [FL]","SPORT","AUTOMOVIL","Livianos","Particular",NA,0,"2011-08-03","2012-08-03",24600000,"No"
NA,NA,NA,2002,"PLATA","SEDAN","HYUNDAI","ACCENT VERNA","GLS","AUTOMOVIL","Livianos","Particular","F",56,"2011-05-21","2012-05-21",1.3e+07,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",189000,2010,"GRIS","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMPERO","Livianos","Oficial",NA,999,"2011-10-01","2012-10-01",56800000,"S�"
NA,NA,NA,2009,"BLANCO","CABINADO","HYUNDAI","STAREX [2]","H1","BUS / BUSETA / MICROBUS","Pesados","Oficial",NA,999,"2011-05-23","2012-05-23",9780000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",836368,2007,"GRIS","CABINADO","HYUNDAI","SANTA FE [2]","GL","CAMPERO","Livianos","Oficial",NA,999,"2011-08-09","2012-12-22",29800000,"S�"
NA,NA,NA,2010,"PLATA","METALICA","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",0,"2011-01-07","2012-01-07",23400000,"No"
NA,NA,NA,2013,"GRIS","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","F",38,"2011-03-29","2012-03-29",33500000,"No"
NA,NA,NA,2007,"AZUL","SEDAN","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",0,"2011-11-15","2011-12-08",1.7e+07,"No"
NA,NA,NA,2009,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",85,"2011-08-25","2012-08-25",15400000,"No"
